Time,Type,Command,Duration
02/Feb/2026 09:18:24,Query,SELECT username FROM users WHERE userid = 6862,5
26/Jan/2026 02:44:24,Query,"INSERT INTO orders (userid, productid, quantity) VALUES (4839, WC-SH-T02, 3)",87
03/Feb/2026 09:42:35,Query,"INSERT INTO orders (userid, productid, quantity) VALUES (5048, WSC-MG-G10, 2)",97
28/Jan/2026 11:30:02,Connect,dbuser on BCG using TCP/IP,
14/Feb/2026 22:52:07,Query,SELECT * FROM users WHERE userid = 9089,46
27/Jan/2026 16:28:46,Query,SELECT username FROM users WHERE userid = 9737,34
18/Feb/2026 05:54:04,Query,UPDATE users SET email = william@company.com WHERE userid = 4909,94
20/Feb/2026 23:46:47,Query,SELECT email FROM users WHERE userid = 4202,30
09/Feb/2026 04:34:19,Query,DELETE FROM sessions WHERE userid = 9313,15
11/Feb/2026 00:35:18,Query,SELECT * FROM creditcard WHERE userid = 6432,34
17/Feb/2026 10:08:33,Query,SELECT * FROM users WHERE userid = 5264,6
05/Feb/2026 08:48:17,Query,"INSERT INTO users (username, password, fname, lname, email) VALUES (robert75, 1e3f0e4291be8533bce600d32c41da4fecfd0204, John, Garcia, mary27@yahoo.com)",81
03/Feb/2026 07:49:30,Query,SELECT * FROM creditcard WHERE userid = 8040,14
18/Feb/2026 09:28:15,Query,SELECT * FROM creditcard WHERE userid = 7931,9
19/Feb/2026 08:55:45,Query,SELECT email FROM users WHERE userid = 6469,34
17/Feb/2026 02:04:23,Query,SELECT ccexpire FROM creditcard WHERE userid = 9648,21
07/Feb/2026 19:10:29,Query,SELECT username FROM users WHERE userid = 3698,10
16/Feb/2026 18:17:39,Query,SELECT * FROM creditcard WHERE userid = 2621,47
26/Jan/2026 09:12:25,Query,DELETE FROM sessions WHERE userid = 5047,30
18/Feb/2026 00:56:45,Connect,webapp on BCG using TCP/IP,
05/Feb/2026 04:13:00,Connect,dbuser on BCG using TCP/IP,
15/Feb/2026 20:43:19,Query,SELECT * FROM users WHERE userid = 9223,18
06/Feb/2026 17:33:45,Query,SELECT * FROM creditcard WHERE userid = 4659,20
11/Feb/2026 06:14:48,Query,DELETE FROM sessions WHERE userid = 4644,30
23/Feb/2026 11:58:59,Connect,webapp on BCG using TCP/IP,
13/Feb/2026 23:49:27,Query,SELECT * FROM users WHERE userid = 3478,38
01/Feb/2026 16:24:27,Connect,admin on BCG using TCP/IP,
22/Feb/2026 20:25:21,Connect,webapp on BCG using TCP/IP,
17/Feb/2026 10:53:35,Query,DELETE FROM sessions WHERE userid = 9324,17
19/Feb/2026 12:51:07,Query,SELECT email FROM users WHERE userid = 8408,46
22/Feb/2026 16:34:11,Query,"INSERT INTO users (username, password, fname, lname, email) VALUES (robert46, 1e3f0e4291be8533bce600d32c41da4fecfd0204, Michael, Miller, jennifer56@yahoo.com)",54
11/Feb/2026 17:52:49,Query,SELECT username FROM users WHERE userid = 4974,33
02/Feb/2026 12:53:39,Query,DELETE FROM sessions WHERE userid = 8082,21
31/Jan/2026 10:31:15,Query,"INSERT INTO users (username, password, fname, lname, email) VALUES (jennifer92, 1e3f0e4291be8533bce600d32c41da4fecfd0204, Elizabeth, Brown, robert78@yahoo.com)",54
22/Feb/2026 19:57:15,Connect,dbuser on BCG using TCP/IP,
22/Feb/2026 13:27:13,Query,UPDATE products SET stock = stock - 1 WHERE productid = 8850,30
25/Jan/2026 20:02:04,Connect,webapp on BCG using TCP/IP,
13/Feb/2026 16:19:46,Connect,admin on BCG using TCP/IP,
28/Jan/2026 10:06:22,Query,DELETE FROM sessions WHERE userid = 9282,14
21/Feb/2026 14:18:32,Query,SELECT email FROM users WHERE userid = 6792,50
04/Feb/2026 05:09:14,Query,"INSERT INTO users (username, password, fname, lname, email) VALUES (mary23, 1e3f0e4291be8533bce600d32c41da4fecfd0204, Mary, Davis, john11@hotmail.com)",17
09/Feb/2026 08:34:57,Query,"INSERT INTO orders (userid, productid, quantity) VALUES (5011, BS-AG-G09, 5)",99
31/Jan/2026 01:47:51,Connect,dbuser on BCG using TCP/IP,
01/Feb/2026 04:08:16,Query,SELECT * FROM users WHERE userid = 1455,15
08/Feb/2026 16:27:03,Connect,dbuser on BCG using TCP/IP,
29/Jan/2026 18:56:51,Query,SELECT ccexpire FROM creditcard WHERE userid = 7007,38
28/Jan/2026 04:14:55,Query,UPDATE products SET stock = stock - 1 WHERE productid = 9521,14
14/Feb/2026 05:08:35,Query,"INSERT INTO users (username, password, fname, lname, email) VALUES (michael57, 1e3f0e4291be8533bce600d32c41da4fecfd0204, Mary, Martinez, michael39@company.com)",96
25/Jan/2026 20:26:07,Query,SELECT ccexpire FROM creditcard WHERE userid = 2086,49
14/Feb/2026 19:07:12,Connect,admin on BCG using TCP/IP,
20/Feb/2026 22:42:38,Query,SELECT * FROM users WHERE userid = 6839,9
22/Feb/2026 22:56:32,Query,UPDATE users SET email = patricia@yahoo.com WHERE userid = 8413,18
11/Feb/2026 10:30:22,Query,SELECT email FROM users WHERE userid = 6504,39
07/Feb/2026 17:00:26,Query,SELECT email FROM users WHERE userid = 7574,33
11/Feb/2026 17:19:10,Query,SELECT email FROM users WHERE userid = 6661,49
01/Feb/2026 02:43:13,Query,"INSERT INTO orders (userid, productid, quantity) VALUES (2465, PZ-SG-G05, 5)",38
02/Feb/2026 10:18:37,Query,UPDATE users SET email = elizabeth@yahoo.com WHERE userid = 9864,66
29/Jan/2026 16:17:19,Query,SELECT username FROM users WHERE userid = 7251,35
12/Feb/2026 04:35:46,Connect,webapp on BCG using TCP/IP,
15/Feb/2026 20:40:34,Query,"INSERT INTO orders (userid, productid, quantity) VALUES (2287, MB-AG-T01, 5)",60
20/Feb/2026 19:26:32,Query,SELECT ccexpire FROM creditcard WHERE userid = 8998,20
16/Feb/2026 22:44:26,Query,SELECT email FROM users WHERE userid = 5282,17
28/Jan/2026 16:49:23,Query,SELECT username FROM users WHERE userid = 6727,40
01/Feb/2026 19:06:39,Query,SELECT * FROM creditcard WHERE userid = 8669,22
04/Feb/2026 21:13:51,Query,SELECT email FROM users WHERE userid = 7011,42
13/Feb/2026 21:14:26,Query,SELECT username FROM users WHERE userid = 6557,27
19/Feb/2026 20:55:33,Query,SELECT email FROM users WHERE userid = 5078,45
30/Jan/2026 19:29:20,Query,SELECT username FROM users WHERE userid = 9038,37
28/Jan/2026 02:14:34,Query,"INSERT INTO users (username, password, fname, lname, email) VALUES (robert34, 1e3f0e4291be8533bce600d32c41da4fecfd0204, William, Smith, jennifer70@hotmail.com)",72
29/Jan/2026 03:19:54,Connect,admin on BCG using TCP/IP,
22/Feb/2026 09:38:34,Connect,webapp on BCG using TCP/IP,
29/Jan/2026 20:32:56,Query,UPDATE products SET stock = stock - 1 WHERE productid = 5929,33
06/Feb/2026 17:27:23,Query,SELECT * FROM users WHERE userid = 3453,36
08/Feb/2026 07:55:08,Query,SELECT username FROM users WHERE userid = 1944,17
11/Feb/2026 22:52:22,Query,DELETE FROM sessions WHERE userid = 3785,23
11/Feb/2026 11:16:00,Query,UPDATE users SET email = robert@hotmail.com WHERE userid = 1049,48
09/Feb/2026 04:58:35,Query,SELECT username FROM users WHERE userid = 3680,43
17/Feb/2026 07:17:49,Connect,webapp on BCG using TCP/IP,
20/Feb/2026 16:26:51,Query,UPDATE users SET email = linda@example.org WHERE userid = 3335,99
14/Feb/2026 00:06:48,Query,SELECT * FROM users WHERE userid = 8361,28
03/Feb/2026 20:19:01,Query,SELECT * FROM creditcard WHERE userid = 6187,19
05/Feb/2026 23:03:34,Query,"INSERT INTO orders (userid, productid, quantity) VALUES (9929, PZ-SG-G05, 2)",62
04/Feb/2026 21:43:11,Query,SELECT * FROM users WHERE userid = 5231,26
18/Feb/2026 05:00:54,Query,SELECT * FROM creditcard WHERE userid = 8498,37
13/Feb/2026 23:05:59,Connect,admin on BCG using TCP/IP,
14/Feb/2026 14:17:06,Query,"INSERT INTO orders (userid, productid, quantity) VALUES (8859, WSC-MG-G10, 3)",47
05/Feb/2026 13:22:41,Connect,admin on BCG using TCP/IP,
22/Feb/2026 06:08:34,Query,SELECT ccexpire FROM creditcard WHERE userid = 2352,19
01/Feb/2026 20:57:08,Query,"INSERT INTO orders (userid, productid, quantity) VALUES (7526, GT-SC-G01, 5)",46
06/Feb/2026 13:06:44,Query,"INSERT INTO users (username, password, fname, lname, email) VALUES (jennifer37, 1e3f0e4291be8533bce600d32c41da4fecfd0204, Elizabeth, Garcia, jennifer81@yahoo.com)",96
19/Feb/2026 22:15:03,Query,SELECT * FROM creditcard WHERE userid = 8394,20
28/Jan/2026 11:10:25,Query,"INSERT INTO orders (userid, productid, quantity) VALUES (6392, GT-SC-G01, 2)",21
13/Feb/2026 07:30:26,Query,SELECT username FROM users WHERE userid = 2411,42
05/Feb/2026 11:44:10,Query,UPDATE products SET stock = stock - 1 WHERE productid = 9472,89
05/Feb/2026 23:39:58,Query,DELETE FROM sessions WHERE userid = 9100,5
17/Feb/2026 18:14:02,Query,SELECT username FROM users WHERE userid = 1193,33
08/Feb/2026 22:31:20,Query,SELECT * FROM users WHERE userid = 6643,50
06/Feb/2026 14:09:13,Query,SELECT * FROM creditcard WHERE userid = 3684,47
12/Feb/2026 07:41:38,Query,SELECT username FROM users WHERE userid = 1641,24
17/Feb/2026 04:55:45,Query,SELECT * FROM users WHERE userid = 2204,40
29/Jan/2026 07:59:43,Query,UPDATE products SET stock = stock - 1 WHERE productid = 5798,93
30/Jan/2026 02:14:52,Query,UPDATE products SET stock = stock - 1 WHERE productid = 7336,67
14/Feb/2026 04:31:09,Connect,admin on BCG using TCP/IP,
06/Feb/2026 23:36:37,Query,"INSERT INTO orders (userid, productid, quantity) VALUES (2423, BS-AG-G09, 1)",72
22/Feb/2026 14:09:21,Query,SELECT email FROM users WHERE userid = 5071,46
16/Feb/2026 05:09:43,Query,SELECT email FROM users WHERE userid = 6213,26
22/Feb/2026 15:14:57,Query,"INSERT INTO users (username, password, fname, lname, email) VALUES (william74, 1e3f0e4291be8533bce600d32c41da4fecfd0204, Mary, Williams, mary21@example.org)",17
03/Feb/2026 23:46:48,Query,SELECT * FROM users WHERE userid = 2436,39
08/Feb/2026 00:18:19,Query,SELECT email FROM users WHERE userid = 5482,25
27/Jan/2026 01:45:31,Query,"INSERT INTO orders (userid, productid, quantity) VALUES (9047, MB-AG-T01, 4)",92
26/Jan/2026 07:51:52,Query,SELECT * FROM creditcard WHERE userid = 1745,42
17/Feb/2026 06:32:44,Query,UPDATE products SET stock = stock - 1 WHERE productid = 5752,78
12/Feb/2026 06:44:35,Query,UPDATE users SET email = michael@hotmail.com WHERE userid = 7591,73
31/Jan/2026 09:58:51,Query,SELECT email FROM users WHERE userid = 1687,30
04/Feb/2026 20:03:22,Query,UPDATE products SET stock = stock - 1 WHERE productid = 1195,59
25/Jan/2026 22:31:33,Query,SELECT email FROM users WHERE userid = 8771,5
05/Feb/2026 14:34:36,Query,SELECT email FROM users WHERE userid = 2597,22
27/Jan/2026 22:49:00,Query,"INSERT INTO orders (userid, productid, quantity) VALUES (3777, DC-SG-G02, 2)",50
13/Feb/2026 23:17:29,Query,SELECT ccexpire FROM creditcard WHERE userid = 9206,29
11/Feb/2026 03:54:35,Query,SELECT ccexpire FROM creditcard WHERE userid = 6466,12
27/Jan/2026 17:42:04,Query,SELECT username FROM users WHERE userid = 2637,28
01/Feb/2026 07:49:53,Query,UPDATE products SET stock = stock - 1 WHERE productid = 6241,62
18/Feb/2026 12:41:51,Query,SELECT * FROM creditcard WHERE userid = 7847,40
18/Feb/2026 18:34:07,Query,UPDATE users SET email = john@yahoo.com WHERE userid = 8169,11
12/Feb/2026 21:38:34,Query,SELECT username FROM users WHERE userid = 3319,38
23/Feb/2026 21:36:48,Connect,admin on BCG using TCP/IP,
21/Feb/2026 08:57:39,Connect,webapp on BCG using TCP/IP,
10/Feb/2026 02:50:00,Query,"INSERT INTO orders (userid, productid, quantity) VALUES (7456, FI-AG-G08, 5)",56
16/Feb/2026 19:38:48,Connect,dbuser on BCG using TCP/IP,
06/Feb/2026 18:26:24,Query,UPDATE users SET email = elizabeth@hotmail.com WHERE userid = 3362,62
14/Feb/2026 13:44:08,Query,UPDATE users SET email = linda@gmail.com WHERE userid = 6744,60
23/Feb/2026 08:24:42,Query,"INSERT INTO orders (userid, productid, quantity) VALUES (7055, CU-PG-G06, 1)",62
18/Feb/2026 05:09:19,Query,SELECT username FROM users WHERE userid = 5595,13
11/Feb/2026 17:38:44,Query,UPDATE products SET stock = stock - 1 WHERE productid = 6145,64
21/Feb/2026 22:53:56,Query,"INSERT INTO users (username, password, fname, lname, email) VALUES (jennifer42, 1e3f0e4291be8533bce600d32c41da4fecfd0204, James, Rodriguez, john39@gmail.com)",51
09/Feb/2026 04:55:53,Query,SELECT email FROM users WHERE userid = 8641,5
01/Feb/2026 13:32:29,Query,UPDATE products SET stock = stock - 1 WHERE productid = 9050,26
27/Jan/2026 16:57:05,Query,"INSERT INTO users (username, password, fname, lname, email) VALUES (james93, 1e3f0e4291be8533bce600d32c41da4fecfd0204, Elizabeth, Smith, elizabeth30@yahoo.com)",52
20/Feb/2026 14:10:59,Query,UPDATE products SET stock = stock - 1 WHERE productid = 5406,19
15/Feb/2026 14:35:34,Query,SELECT ccexpire FROM creditcard WHERE userid = 9914,13
23/Feb/2026 23:36:13,Query,SELECT username FROM users WHERE userid = 2445,24
17/Feb/2026 13:40:14,Query,SELECT email FROM users WHERE userid = 4257,37
14/Feb/2026 20:43:16,Query,UPDATE users SET email = michael@hotmail.com WHERE userid = 8956,88
31/Jan/2026 07:07:26,Query,SELECT username FROM users WHERE userid = 5300,6
29/Jan/2026 22:21:44,Connect,dbuser on BCG using TCP/IP,
28/Jan/2026 15:46:34,Query,"INSERT INTO orders (userid, productid, quantity) VALUES (6178, WC-SH-A01, 1)",44
30/Jan/2026 07:29:41,Query,UPDATE users SET email = james@yahoo.com WHERE userid = 6103,24
18/Feb/2026 09:21:07,Query,SELECT email FROM users WHERE userid = 8367,5
27/Jan/2026 09:11:57,Query,"INSERT INTO users (username, password, fname, lname, email) VALUES (william94, 1e3f0e4291be8533bce600d32c41da4fecfd0204, Elizabeth, Rodriguez, michael71@yahoo.com)",56
28/Jan/2026 14:51:51,Query,DELETE FROM sessions WHERE userid = 9834,5
29/Jan/2026 06:20:17,Connect,webapp on BCG using TCP/IP,
26/Jan/2026 17:24:40,Query,SELECT ccexpire FROM creditcard WHERE userid = 2488,14
09/Feb/2026 23:27:23,Query,SELECT * FROM creditcard WHERE userid = 7577,37
28/Jan/2026 17:05:05,Query,SELECT * FROM creditcard WHERE userid = 9225,6
05/Feb/2026 03:28:29,Query,DELETE FROM sessions WHERE userid = 8904,20
12/Feb/2026 16:27:20,Query,SELECT username FROM users WHERE userid = 1328,6
10/Feb/2026 21:32:54,Query,SELECT username FROM users WHERE userid = 2003,8
05/Feb/2026 06:51:56,Query,"INSERT INTO orders (userid, productid, quantity) VALUES (2019, WC-SH-A01, 5)",14
02/Feb/2026 09:50:49,Query,SELECT email FROM users WHERE userid = 5707,49
02/Feb/2026 15:24:39,Query,UPDATE users SET email = patricia@yahoo.com WHERE userid = 5246,34
18/Feb/2026 06:35:17,Query,SELECT username FROM users WHERE userid = 9316,33
14/Feb/2026 12:26:20,Query,DELETE FROM sessions WHERE userid = 4756,14
15/Feb/2026 21:31:37,Query,UPDATE users SET email = mary@gmail.com WHERE userid = 5642,33
14/Feb/2026 09:00:03,Query,"INSERT INTO users (username, password, fname, lname, email) VALUES (jennifer13, 1e3f0e4291be8533bce600d32c41da4fecfd0204, William, Miller, james90@gmail.com)",43
03/Feb/2026 05:41:28,Query,SELECT * FROM users WHERE userid = 1018,9
02/Feb/2026 19:36:48,Query,DELETE FROM sessions WHERE userid = 2917,24
21/Feb/2026 06:12:09,Connect,dbuser on BCG using TCP/IP,
01/Feb/2026 07:25:16,Query,UPDATE users SET email = robert@yahoo.com WHERE userid = 6790,77
21/Feb/2026 07:01:28,Connect,dbuser on BCG using TCP/IP,
04/Feb/2026 03:36:26,Connect,webapp on BCG using TCP/IP,
02/Feb/2026 23:37:31,Query,SELECT username FROM users WHERE userid = 4076,50
09/Feb/2026 18:31:01,Query,"INSERT INTO users (username, password, fname, lname, email) VALUES (robert53, 1e3f0e4291be8533bce600d32c41da4fecfd0204, John, Johnson, patricia85@example.org)",23
08/Feb/2026 04:07:26,Query,SELECT * FROM users WHERE userid = 6414,22
08/Feb/2026 00:17:24,Query,UPDATE products SET stock = stock - 1 WHERE productid = 5229,52
13/Feb/2026 09:50:21,Query,UPDATE products SET stock = stock - 1 WHERE productid = 2250,42
19/Feb/2026 17:15:16,Query,UPDATE products SET stock = stock - 1 WHERE productid = 9440,21
14/Feb/2026 15:17:40,Query,"INSERT INTO users (username, password, fname, lname, email) VALUES (linda22, 1e3f0e4291be8533bce600d32c41da4fecfd0204, James, Martinez, jennifer69@gmail.com)",52
09/Feb/2026 15:11:39,Query,SELECT * FROM creditcard WHERE userid = 8088,9
08/Feb/2026 12:41:40,Query,"INSERT INTO users (username, password, fname, lname, email) VALUES (mary94, 1e3f0e4291be8533bce600d32c41da4fecfd0204, Robert, Rodriguez, linda69@yahoo.com)",11
05/Feb/2026 20:27:02,Query,UPDATE users SET email = elizabeth@company.com WHERE userid = 2542,30
26/Jan/2026 19:27:41,Connect,webapp on BCG using TCP/IP,
18/Feb/2026 06:12:55,Query,SELECT email FROM users WHERE userid = 8148,27
27/Jan/2026 16:40:57,Query,"INSERT INTO users (username, password, fname, lname, email) VALUES (jennifer75, 1e3f0e4291be8533bce600d32c41da4fecfd0204, Patricia, Smith, linda78@company.com)",31
23/Feb/2026 21:18:19,Query,SELECT email FROM users WHERE userid = 6463,24
09/Feb/2026 11:46:16,Query,SELECT * FROM users WHERE userid = 4531,6
10/Feb/2026 18:26:17,Connect,webapp on BCG using TCP/IP,
10/Feb/2026 07:24:09,Connect,admin on BCG using TCP/IP,
28/Jan/2026 18:15:12,Connect,dbuser on BCG using TCP/IP,
23/Feb/2026 02:09:46,Connect,dbuser on BCG using TCP/IP,
15/Feb/2026 11:51:42,Query,UPDATE products SET stock = stock - 1 WHERE productid = 8669,90
04/Feb/2026 17:13:24,Query,"INSERT INTO orders (userid, productid, quantity) VALUES (1446, MB-AG-G07, 3)",68
13/Feb/2026 14:09:34,Query,"INSERT INTO users (username, password, fname, lname, email) VALUES (michael74, 1e3f0e4291be8533bce600d32c41da4fecfd0204, Jennifer, Rodriguez, william86@yahoo.com)",85
21/Feb/2026 11:11:54,Query,SELECT ccexpire FROM creditcard WHERE userid = 2988,25
16/Feb/2026 01:43:21,Query,SELECT * FROM users WHERE userid = 8997,42
27/Jan/2026 02:03:40,Query,"INSERT INTO users (username, password, fname, lname, email) VALUES (elizabeth82, 1e3f0e4291be8533bce600d32c41da4fecfd0204, Linda, Brown, patricia37@gmail.com)",55
02/Feb/2026 06:38:59,Connect,admin on BCG using TCP/IP,
17/Feb/2026 09:33:26,Connect,admin on BCG using TCP/IP,
03/Feb/2026 03:54:35,Query,UPDATE products SET stock = stock - 1 WHERE productid = 5829,77
19/Feb/2026 03:10:26,Query,UPDATE users SET email = william@example.org WHERE userid = 1974,14
18/Feb/2026 22:19:57,Query,"INSERT INTO users (username, password, fname, lname, email) VALUES (patricia23, 1e3f0e4291be8533bce600d32c41da4fecfd0204, Elizabeth, Garcia, patricia75@example.org)",53
12/Feb/2026 02:16:19,Query,SELECT * FROM creditcard WHERE userid = 1790,7
13/Feb/2026 16:44:39,Query,SELECT username FROM users WHERE userid = 4416,34
29/Jan/2026 11:59:31,Query,SELECT * FROM users WHERE userid = 5847,33
09/Feb/2026 03:10:17,Query,SELECT username FROM users WHERE userid = 1342,49
06/Feb/2026 00:37:13,Query,SELECT ccexpire FROM creditcard WHERE userid = 2674,8
26/Jan/2026 18:13:50,Query,UPDATE users SET email = mary@example.org WHERE userid = 6304,32
09/Feb/2026 04:38:19,Query,SELECT * FROM users WHERE userid = 8822,10
10/Feb/2026 03:59:52,Connect,dbuser on BCG using TCP/IP,
09/Feb/2026 21:51:00,Query,SELECT username FROM users WHERE userid = 3484,39
10/Feb/2026 04:24:56,Connect,admin on BCG using TCP/IP,
10/Feb/2026 04:53:52,Query,UPDATE products SET stock = stock - 1 WHERE productid = 8674,47
15/Feb/2026 21:31:31,Connect,webapp on BCG using TCP/IP,
27/Jan/2026 12:04:06,Query,SELECT ccexpire FROM creditcard WHERE userid = 2470,8
23/Feb/2026 14:41:40,Query,SELECT username FROM users WHERE userid = 9159,40
04/Feb/2026 11:01:01,Query,SELECT ccexpire FROM creditcard WHERE userid = 3037,43
31/Jan/2026 02:19:54,Query,SELECT * FROM users WHERE userid = 1095,48
20/Feb/2026 04:12:50,Query,SELECT * FROM users WHERE userid = 1112,29
13/Feb/2026 22:12:24,Query,"INSERT INTO orders (userid, productid, quantity) VALUES (3601, GT-SC-G01, 4)",32
29/Jan/2026 23:32:38,Connect,webapp on BCG using TCP/IP,
08/Feb/2026 07:00:04,Query,SELECT username FROM users WHERE userid = 3871,16
17/Feb/2026 11:48:36,Query,SELECT username FROM users WHERE userid = 7010,28
20/Feb/2026 12:33:45,Query,"INSERT INTO users (username, password, fname, lname, email) VALUES (patricia45, 1e3f0e4291be8533bce600d32c41da4fecfd0204, Linda, Garcia, robert55@example.org)",18
29/Jan/2026 14:12:46,Query,SELECT email FROM users WHERE userid = 9839,43
15/Feb/2026 04:05:43,Connect,admin on BCG using TCP/IP,
22/Feb/2026 06:29:59,Connect,webapp on BCG using TCP/IP,
07/Feb/2026 23:36:23,Query,"INSERT INTO users (username, password, fname, lname, email) VALUES (james43, 1e3f0e4291be8533bce600d32c41da4fecfd0204, Michael, Garcia, patricia67@hotmail.com)",92
19/Feb/2026 17:53:35,Query,UPDATE users SET email = robert@hotmail.com WHERE userid = 4936,69
08/Feb/2026 11:04:50,Query,"INSERT INTO users (username, password, fname, lname, email) VALUES (william20, 1e3f0e4291be8533bce600d32c41da4fecfd0204, Mary, Jones, michael34@example.org)",34
10/Feb/2026 21:34:38,Query,SELECT username FROM users WHERE userid = 5020,22
28/Jan/2026 22:57:03,Query,SELECT * FROM creditcard WHERE userid = 9011,15
17/Feb/2026 09:01:48,Query,SELECT email FROM users WHERE userid = 7767,22
21/Feb/2026 06:29:47,Query,UPDATE users SET email = robert@example.org WHERE userid = 2992,98
28/Jan/2026 15:52:01,Query,SELECT * FROM creditcard WHERE userid = 8037,7
15/Feb/2026 02:34:40,Query,SELECT ccexpire FROM creditcard WHERE userid = 2020,32
30/Jan/2026 03:01:56,Query,"INSERT INTO orders (userid, productid, quantity) VALUES (6775, WC-SH-T02, 5)",89
20/Feb/2026 10:18:19,Connect,webapp on BCG using TCP/IP,
02/Feb/2026 13:50:45,Query,SELECT * FROM creditcard WHERE userid = 3642,15
12/Feb/2026 07:15:54,Query,"INSERT INTO users (username, password, fname, lname, email) VALUES (patricia28, 1e3f0e4291be8533bce600d32c41da4fecfd0204, Patricia, Jones, john85@gmail.com)",69
28/Jan/2026 18:08:24,Query,"INSERT INTO users (username, password, fname, lname, email) VALUES (mary80, 1e3f0e4291be8533bce600d32c41da4fecfd0204, Elizabeth, Rodriguez, john10@gmail.com)",60
14/Feb/2026 09:57:39,Query,UPDATE products SET stock = stock - 1 WHERE productid = 8117,17
